image_id,histogram_l1_mean,histogram_chi_square_mean,lsb_chi_square_statistic_change,lsb_chi_square_p_value_change,rs_combined_imbalance_change,modified_pixel_count,changed_pixel_ratio,smooth_pixel_fraction,smooth_region_change_ratio
0801.png,0.0005547843522856522,1.3314400522901517e-07,-5.415899165977407,0.0,-2.89201226213176e-05,24122,0.008720139973393487,0.25,0.03959041538844209
0802.png,0.0005600863747662383,5.472442244477143e-07,-81.50756726579857,0.0,-4.6272196194130366e-05,24812,0.00896957603100237,0.25,0.040746413025955185
0803.png,0.0005135995370370368,2.619659734668612e-07,-29.03713668917044,0.0,-0.00021318423202609793,24348,0.007770373774509804,0.25,0.03807294233612617
0804.png,0.0006432461873638368,2.0769874796089034e-07,-60.65767732423046,0.0,-8.251633986930407e-05,24355,0.009948937908496732,0.25,0.041469924040238144
0805.png,0.0005699805964052286,1.6489586908665385e-07,-797.6312762078596,0.0,-1.7233455882351145e-05,23897,0.007626442504084967,0.25,0.035736703351885175
0806.png,0.0005731004299458221,3.099903850360491e-07,-65.77128188525967,0.0,-5.6394239111579036e-05,23420,0.008466365897391404,0.25,0.031127241673783092
0807.png,0.0008219186019561477,6.384237713132548e-07,-473.3214364262858,0.0,3.737310527047316e-05,23854,0.010366256431650674,0.25,0.035214219837343845
0808.png,0.0007591532188096481,1.2870354643198738e-06,-1610.0715841542988,0.0,-0.0001207415119440225,23453,0.0084782954479727,0.25,0.03057178186159553
0809.png,0.0005328532592978209,2.596533983398165e-07,3.549094507402515,-2.5886127318458063e-291,1.879807970386893e-05,23616,0.008537220197813639,0.25,0.036797086720867206
0810.png,0.0004725371051198318,1.123247312796411e-07,-1.2609305810938167,1.4322114044949106e-301,-3.574346405230133e-05,24198,0.0077225030637254905,0.25,0.03847425407058434
0811.png,0.0005449033103900384,2.3189975213538713e-07,64.47370225022678,0.0,-1.7352073572812765e-05,23852,0.008622534559546532,0.25,0.03504947174241154
0812.png,0.0005042381535947708,1.3759939904708763e-07,-19.694408619639944,0.0,-0.00011361315359478819,24199,0.007722822201797386,0.25,0.03892722839786768
0813.png,0.000612521875781284,1.957324055414264e-07,-915.1751496854704,0.0,-0.00022902603664415322,24566,0.008225516982749384,0.25,0.041317267768460474
0814.png,0.0005330942603196694,1.0269083118104992e-06,-167.8868669729345,0.0,-0.00015255364682748018,23342,0.008438168777835618,0.2500010845045983,0.031873875417701994
0815.png,0.0005468313185647921,2.01961286610477e-07,60.4724049587785,0.0,-2.892012262112331e-06,23663,0.008554210769853665,0.25,0.034230655453661836
0816.png,0.0006268436578171114,3.8627287066000533e-07,-571.3942953603109,0.0,-9.471340158481723e-05,23912,0.008644224651512522,0.25,0.038892606222817
0817.png,0.0004895578022875775,2.3294516425548323e-07,-44.192744162195595,0.0,-5.872140522877878e-05,24174,0.00771484375,0.25,0.04037395548936874
0818.png,0.0005901926742919382,1.984920986881303e-07,-627.9831401551346,0.0,-0.00012637867647058432,24060,0.007678462009803921,0.25,0.03736492103075644
0819.png,0.0005962365280428777,1.80741857987123e-07,-106.91115239848659,0.0,-1.4460061310839212e-06,24576,0.008884261669269478,0.25,0.0411376953125
0820.png,0.0007499951799795636,3.2256843165145186e-07,-1454.813805754733,0.0,-0.00011134247209210191,24284,0.00877870322170166,0.25,0.038996870367320045
