cover_category,method,total_runs,reliable_runs,reliable_success_rate_percent,mean_psnr_reliable,mean_ssim_reliable,mean_changed_pixel_ratio
Mixed,Canny Synchronous,36,0,0.0,,,
Mixed,GuardianPixel,36,36,100.0,69.50929637483581,0.9999794874125435,3.07779868297166
Mixed,Keyed Random Matching,36,36,100.0,69.50137481679799,0.9999166263435948,3.0864582803005565
Mixed,Sequential Matching,36,36,100.0,69.50239245255511,0.9998819645628914,3.088123175079493
Mixed,Sequential Replacement,36,36,100.0,69.50239245255511,0.9998831868241035,3.088123175079493
Smooth,Canny Synchronous,15,0,0.0,,,
Smooth,GuardianPixel,15,15,100.0,69.19404674980065,0.9999537069501817,3.299188354086517
Smooth,Keyed Random Matching,15,15,100.0,69.20009919387246,0.9998642688047173,3.3054514243071886
Smooth,Sequential Matching,15,15,100.0,69.20400833152516,0.9998014213028789,3.302651095403427
Smooth,Sequential Replacement,15,15,100.0,69.20400833152516,0.9998201056688836,3.302651095403427
Textured,Canny Synchronous,9,0,0.0,,,
Textured,GuardianPixel,9,9,100.0,68.89342574194185,0.9999916935633234,3.5446270949544
Textured,Keyed Random Matching,9,9,100.0,68.88592510541324,0.9999728028649086,3.561017456363711
Textured,Sequential Matching,9,9,100.0,68.89497868091884,0.9999788567668018,3.5555916723468153
Textured,Sequential Replacement,9,9,100.0,68.89497868091884,0.9999788773657351,3.5555916723468153
