image_id,cover_category,texture_score,width,height,total_pixels,payload_profile,text_character_count,payload_utf8_bytes,compressed,stored_payload_bytes,compression_ratio,envelope_bytes,expected_ciphertext_bits,encrypted_packet_bits,bootstrap_bits,metadata_bits,total_embedded_bits,payload_bpp,total_bpp,selected_blocks,selected_percentage,map_encoding,map_bytes,mse,psnr,ssim,modified_channels,maximum_change,exact_recovery,ber,compatible,compatibility_class,failure_reason,cover_analysis_seconds,embedding_seconds,extraction_seconds
0806.png,Mixed,0.16594719008419068,2040,1356,2766240,random_ascii,310000,310000,True,257969,0.8321580645161291,258038,2064432,2064432,480,17608,2082520,0.7462953322922089,0.7528341720168894,35895,82.80276816608996,ZLIB,2177,0.1254359708485164,57.146582653550276,0.9989359130762092,1040958,1,True,0.0,True,Excellent,,16.55482530000154,23.55687520000356,19.463533099995402
0806.png,Mixed,0.16594719008419068,2040,1356,2766240,random_ascii,325000,325000,True,270434,0.8321046153846153,270503,2164152,2164152,480,14848,2179480,0.7823442651396842,0.7878853606339291,37568,86.66205305651673,ZLIB,1832,0.13120517380993696,56.95129399968487,0.9988407618371099,1088835,1,True,0.0,True,Excellent,,16.55482530000154,23.788130599998112,20.025130300004093
0806.png,Mixed,0.16594719008419068,2040,1356,2766240,random_ascii,350000,350000,True,291253,0.8321514285714285,291322,2330704,2330704,480,9648,2340832,0.8425530684250101,0.8462143559488692,40350,93.07958477508652,ZLIB,1182,0.14102608595060442,56.63780908236909,0.9986754402741672,1170336,1,True,0.0,True,Excellent,,16.55482530000154,24.697045400003844,20.8951498000024
0806.png,Mixed,0.16594719008419068,2040,1356,2766240,random_ascii,375000,375000,True,312066,0.832176,312135,2497208,2497208,480,2032,2499720,0.9027445196367633,0.9036526114870727,43089,99.39792387543253,ZLIB,230,0.15063021767212292,56.35168257184884,0.9985066867686254,1250038,1,True,0.0,True,Excellent,,16.55482530000154,27.04965380000067,22.1372721000007
0806.png,Mixed,0.16594719008419068,2040,1356,2766240,random_ascii,390000,390000,True,324522,0.8321076923076923,324591,2596856,2596856,480,,,,,,,,,,,,,,False,,False,Incompatible,BlockMapError: The image does not provide enough capacity. Required positions: 2857214; maximum positions: 2766240.,16.55482530000154,,
0807.png,Textured,0.3183728155123871,2040,1128,2301120,random_ascii,310000,310000,True,257969,0.8321580645161291,258038,2064432,2064432,480,3032,2067944,0.897142261159783,0.8986684744819914,35540,98.84577944653039,ZLIB,355,0.1497062300097344,56.37840487027522,0.9995871305590227,1033476,1,True,0.0,True,Excellent,,16.862955199998396,22.130058399998234,18.24950600000011
0807.png,Textured,0.3183728155123871,2040,1128,2301120,random_ascii,325000,325000,True,270434,0.8321046153846153,270503,2164152,2164152,480,,,,,,,,,,,,,,False,,False,Incompatible,BlockMapError: The image does not provide enough capacity. Required positions: 2381240; maximum positions: 2301120.,16.862955199998396,,
0807.png,Textured,0.3183728155123871,2040,1128,2301120,random_ascii,350000,350000,True,291253,0.8321514285714285,291322,2330704,2330704,480,,,,,,,,,,,,,,False,,False,Incompatible,BlockMapError: The image does not provide enough capacity. Required positions: 2564447; maximum positions: 2301120.,16.862955199998396,,
0807.png,Textured,0.3183728155123871,2040,1128,2301120,random_ascii,375000,375000,True,312066,0.832176,312135,2497208,2497208,480,,,,,,,,,,,,,,False,,False,Incompatible,BlockMapError: The image does not provide enough capacity. Required positions: 2747601; maximum positions: 2301120.,16.862955199998396,,
0807.png,Textured,0.3183728155123871,2040,1128,2301120,random_ascii,390000,390000,True,324522,0.8321076923076923,324591,2596856,2596856,480,,,,,,,,,,,,,,False,,False,Incompatible,BlockMapError: The image does not provide enough capacity. Required positions: 2857214; maximum positions: 2301120.,16.862955199998396,,
0808.png,Mixed,0.1597871180727408,2040,1356,2766240,random_ascii,310000,310000,True,257969,0.8321580645161291,258038,2064432,2064432,480,11912,2076824,0.7462953322922089,0.7507750592862513,35729,82.41983852364476,ZLIB,1465,0.1252044893670349,57.15460459530437,0.9989459441016685,1039037,1,True,0.0,True,Excellent,,16.13451889999851,22.790210999999545,19.380745400005253
0808.png,Mixed,0.1597871180727408,2040,1356,2766240,random_ascii,325000,325000,True,270434,0.8321046153846153,270503,2164152,2164152,480,11360,2175992,0.7823442651396842,0.7866244432876396,37509,86.52595155709342,ZLIB,1396,0.13112202845740065,56.954047017191215,0.9988541903270155,1088145,1,True,0.0,True,Excellent,,16.13451889999851,23.7930561999965,19.903260600003705
0808.png,Mixed,0.1597871180727408,2040,1356,2766240,random_ascii,350000,350000,True,291253,0.8321514285714285,291322,2330704,2330704,480,8720,2339904,0.8425530684250101,0.8458788825264619,40332,93.03806228373702,ZLIB,1066,0.14112658337671352,56.63471533319036,0.9986915752112306,1171170,1,True,0.0,True,Excellent,,16.13451889999851,24.48854470000515,21.09661480000068
0808.png,Mixed,0.1597871180727408,2040,1356,2766240,random_ascii,375000,375000,True,312066,0.832176,312135,2497208,2497208,480,1848,2499536,0.9027445196367633,0.9035860952050436,43087,99.39331026528258,RLE,207,0.15079084485318217,56.34705386379529,0.9985243682698551,1251371,1,True,0.0,True,Excellent,,16.13451889999851,25.50622559999465,21.552280200005043
0808.png,Mixed,0.1597871180727408,2040,1356,2766240,random_ascii,390000,390000,True,324522,0.8321076923076923,324591,2596856,2596856,480,,,,,,,,,,,,,,False,,False,Incompatible,BlockMapError: The image does not provide enough capacity. Required positions: 2857214; maximum positions: 2766240.,16.13451889999851,,
