cover_category,method,total_runs,reliable_runs,reliable_success_rate_percent,mean_psnr_reliable,mean_ssim_reliable,mean_changed_pixel_ratio
Mixed,Canny Synchronous,27,0,0.0,,,
Mixed,GuardianPixel,27,27,100.0,78.06961326578697,0.999997295506717,0.3904907012126334
Mixed,Keyed Random Matching,27,27,100.0,78.06790357733445,0.9999897422848667,0.3906366287367687
Mixed,Sequential Matching,27,27,100.0,78.06568273957579,0.9999874708216047,0.39117789453641794
Mixed,Sequential Replacement,27,27,100.0,78.06568273957579,0.9999880578487015,0.39117789453641794
Smooth,Canny Synchronous,6,0,0.0,,,
Smooth,GuardianPixel,6,6,100.0,78.03952398342078,0.9999963768200613,0.3929099909383616
Smooth,Keyed Random Matching,6,6,100.0,78.03049550564874,0.9999865987998859,0.3932293172923053
Smooth,Sequential Matching,6,6,100.0,78.05826690536837,0.9999821890272901,0.39238581371585013
Smooth,Sequential Replacement,6,6,100.0,78.05826690536837,0.9999823661034006,0.39238581371585013
Textured,Canny Synchronous,27,0,0.0,,,
Textured,GuardianPixel,27,27,100.0,77.86418280922152,0.9999979479414816,0.4114997371434048
Textured,Keyed Random Matching,27,27,100.0,77.84985536944731,0.9999935242052631,0.4118846618091933
Textured,Sequential Matching,27,27,100.0,77.8642884073357,0.999992914221609,0.41084685303934604
Textured,Sequential Replacement,27,27,100.0,77.8642884073357,0.9999929055765624,0.41084685303934604
